postal_code,coordinates
68685-000,"(42.6623584, -2.0305797)"
68790-000,"(-1.2910436888888888, -48.1479065)"
68780-000,"(-0.8625334, -48.1419378)"
68786-000,"(-1.1519481363636364, -48.13261159090909)"
68680-000,"(47.6778145, 7.5217992)"
68795-000,"(-1.3136611333333335, -48.29771508333333)"
67105-290,"(46.4367174, 17.7709817)"
67033-000,"(43.698733, 16.6190659)"
67000-000,"(30.62387295, 104.0779449438704)"
68690-000,"(47.863255800000005, 7.055178556762333)"
67100-000,"(41.15165590150376, 24.899937847368424)"
66640-000,"(49.516223218597005, 7.161835690938984)"
66823-060,"(-1.33407185, -48.4491223)"
68638-000,"(42.6711399, -2.0346023)"
66033-340,"(42.8878745, -1.097145)"
68447-000,"(-1.508620825, -48.7000812125)"
68445-000,"(-1.527539375, -48.61630935)"
68695-000,"(-2.9437858, -48.9547622)"
68440-000,"(-1.7340464800000002, -48.86978466)"
68639-000,"(42.6710277, -2.0347235)"
68830-000,"(47.9337528, 7.009130814300116)"
68506-000,"(58.004193283908045, 25.732621149425285)"
68450-000,"(30.62387295, 104.0779449438704)"
68430-000,"(-1.9787131800000002, -48.96147906)"
68590-000,"(-4.4443071125, -49.12570625)"
68825-000,"(-1.5411512, -49.2419508)"
68488-000,"(-3.777154056521739, -49.569260460869565)"
68420-000,"(-2.5515822399999997, -49.52799038)"
68400-000,"(-2.24421809, -49.499546269999996)"
68540-000,"(47.85300465, 7.258357271037031)"
68465-000,"(42.6643452, -2.0196675)"
68580-000,"(-5.19922905, -49.9103515)"
68470-000,"(14.881622, 120.23353614999999)"
68815-000,"(42.6687485, -2.021188)"
68537-000,"(-6.5352306, -49.85079361666667)"
68475-000,"(-1.8995019363636363, -50.208851736363634)"
68473-000,"(-4.247592233333334, -49.95259177619048)"
68515-000,"(-6.197358856603774, -49.6683710509434)"
